sector-name,subsector-name,technology,year
alumina,refined liquids,refined liquids CCS,2010
alumina,refined liquids,refined liquids CCS,2015
alumina,refined liquids,refined liquids CCS,2020
alumina,refined liquids,refined liquids CCS,2025
alumina,refined liquids,refined liquids CCS,2030
alumina,refined liquids,refined liquids CCS,2035
alumina,refined liquids,refined liquids CCS,2040
alumina,refined liquids,refined liquids CCS,2045
alumina,refined liquids,refined liquids CCS,2050
alumina,refined liquids,refined liquids CCS,2055
alumina,refined liquids,refined liquids CCS,2060
alumina,refined liquids,refined liquids CCS,2065
alumina,refined liquids,refined liquids CCS,2070
alumina,refined liquids,refined liquids CCS,2075
alumina,refined liquids,refined liquids CCS,2080
alumina,refined liquids,refined liquids CCS,2085
alumina,refined liquids,refined liquids CCS,2090
alumina,refined liquids,refined liquids CCS,2095
alumina,refined liquids,refined liquids CCS,2100
alumina,coal,coal,1975
alumina,coal,coal,1990
alumina,coal,coal,2005
alumina,coal,coal,2010
alumina,coal,coal,2015
alumina,coal,coal,2020
alumina,coal,coal,2025
alumina,coal,coal,2030
alumina,coal,coal,2035
alumina,coal,coal,2040
alumina,coal,coal,2045
alumina,coal,coal,2050
alumina,coal,coal,2055
alumina,coal,coal,2060
alumina,coal,coal,2065
alumina,coal,coal,2070
alumina,coal,coal,2075
alumina,coal,coal,2080
alumina,coal,coal,2085
alumina,coal,coal,2090
alumina,coal,coal,2095
alumina,coal,coal,2100
alumina,coal,coal cogen,1975
alumina,coal,coal cogen,1990
alumina,coal,coal cogen,2005
alumina,coal,coal cogen,2010
alumina,coal,coal cogen,2015
alumina,coal,coal cogen,2020
alumina,coal,coal cogen,2025
alumina,coal,coal cogen,2030
alumina,coal,coal cogen,2035
alumina,coal,coal cogen,2040
alumina,coal,coal cogen,2045
alumina,coal,coal cogen,2050
alumina,coal,coal cogen,2055
alumina,coal,coal cogen,2060
alumina,coal,coal cogen,2065
alumina,coal,coal cogen,2070
alumina,coal,coal cogen,2075
alumina,coal,coal cogen,2080
alumina,coal,coal cogen,2085
alumina,coal,coal cogen,2090
alumina,coal,coal cogen,2095
alumina,coal,coal cogen,2100
alumina,coal,coal CCS,1975
alumina,coal,coal CCS,1990
alumina,coal,coal CCS,2005
alumina,coal,coal CCS,2010
alumina,coal,coal CCS,2015
alumina,coal,coal CCS,2020
alumina,coal,coal CCS,2025
alumina,coal,coal CCS,2030
alumina,coal,coal CCS,2035
alumina,coal,coal CCS,2040
alumina,coal,coal CCS,2045
alumina,coal,coal CCS,2050
alumina,coal,coal CCS,2055
alumina,coal,coal CCS,2060
alumina,coal,coal CCS,2065
alumina,coal,coal CCS,2070
alumina,coal,coal CCS,2075
alumina,coal,coal CCS,2080
alumina,coal,coal CCS,2085
alumina,coal,coal CCS,2090
alumina,coal,coal CCS,2095
alumina,coal,coal CCS,2100
alumina,gas,gas,1975
alumina,gas,gas,1990
alumina,gas,gas,2005
alumina,gas,gas,2010
alumina,gas,gas,2015
alumina,gas,gas,2020
alumina,gas,gas,2025
alumina,gas,gas,2030
alumina,gas,gas,2035
alumina,gas,gas,2040
alumina,gas,gas,2045
alumina,gas,gas,2050
alumina,gas,gas,2055
alumina,gas,gas,2060
alumina,gas,gas,2065
alumina,gas,gas,2070
alumina,gas,gas,2075
alumina,gas,gas,2080
alumina,gas,gas,2085
alumina,gas,gas,2090
alumina,gas,gas,2095
alumina,gas,gas,2100
alumina,gas,gas cogen,1975
alumina,gas,gas cogen,1990
alumina,gas,gas cogen,2005
alumina,gas,gas cogen,2010
alumina,gas,gas cogen,2015
alumina,gas,gas cogen,2020
alumina,gas,gas cogen,2025
alumina,gas,gas cogen,2030
alumina,gas,gas cogen,2035
alumina,gas,gas cogen,2040
alumina,gas,gas cogen,2045
alumina,gas,gas cogen,2050
alumina,gas,gas cogen,2055
alumina,gas,gas cogen,2060
alumina,gas,gas cogen,2065
alumina,gas,gas cogen,2070
alumina,gas,gas cogen,2075
alumina,gas,gas cogen,2080
alumina,gas,gas cogen,2085
alumina,gas,gas cogen,2090
alumina,gas,gas cogen,2095
alumina,gas,gas cogen,2100
alumina,gas,gas CCS,1975
alumina,gas,gas CCS,1990
alumina,gas,gas CCS,2005
alumina,gas,gas CCS,2010
alumina,gas,gas CCS,2015
alumina,gas,gas CCS,2020
alumina,gas,gas CCS,2025
alumina,gas,gas CCS,2030
alumina,gas,gas CCS,2035
alumina,gas,gas CCS,2040
alumina,gas,gas CCS,2045
alumina,gas,gas CCS,2050
alumina,gas,gas CCS,2055
alumina,gas,gas CCS,2060
alumina,gas,gas CCS,2065
alumina,gas,gas CCS,2070
alumina,gas,gas CCS,2075
alumina,gas,gas CCS,2080
alumina,gas,gas CCS,2085
alumina,gas,gas CCS,2090
alumina,gas,gas CCS,2095
alumina,gas,gas CCS,2100
alumina,biomass,biomass,1975
alumina,biomass,biomass,1990
alumina,biomass,biomass,2005
alumina,biomass,biomass,2010
alumina,biomass,biomass,2015
alumina,biomass,biomass,2020
alumina,biomass,biomass,2025
alumina,biomass,biomass,2030
alumina,biomass,biomass,2035
alumina,biomass,biomass,2040
alumina,biomass,biomass,2045
alumina,biomass,biomass,2050
alumina,biomass,biomass,2055
alumina,biomass,biomass,2060
alumina,biomass,biomass,2065
alumina,biomass,biomass,2070
alumina,biomass,biomass,2075
alumina,biomass,biomass,2080
alumina,biomass,biomass,2085
alumina,biomass,biomass,2090
alumina,biomass,biomass,2095
alumina,biomass,biomass,2100
alumina,biomass,biomass cogen,1975
alumina,biomass,biomass cogen,1990
alumina,biomass,biomass cogen,2005
alumina,biomass,biomass cogen,2010
alumina,biomass,biomass cogen,2015
alumina,biomass,biomass cogen,2020
alumina,biomass,biomass cogen,2025
alumina,biomass,biomass cogen,2030
alumina,biomass,biomass cogen,2035
alumina,biomass,biomass cogen,2040
alumina,biomass,biomass cogen,2045
alumina,biomass,biomass cogen,2050
alumina,biomass,biomass cogen,2055
alumina,biomass,biomass cogen,2060
alumina,biomass,biomass cogen,2065
alumina,biomass,biomass cogen,2070
alumina,biomass,biomass cogen,2075
alumina,biomass,biomass cogen,2080
alumina,biomass,biomass cogen,2085
alumina,biomass,biomass cogen,2090
alumina,biomass,biomass cogen,2095
alumina,biomass,biomass cogen,2100
alumina,biomass,biomass CCS,1975
alumina,biomass,biomass CCS,1990
alumina,biomass,biomass CCS,2005
alumina,biomass,biomass CCS,2010
alumina,biomass,biomass CCS,2015
alumina,biomass,biomass CCS,2020
alumina,biomass,biomass CCS,2025
alumina,biomass,biomass CCS,2030
alumina,biomass,biomass CCS,2035
alumina,biomass,biomass CCS,2040
alumina,biomass,biomass CCS,2045
alumina,biomass,biomass CCS,2050
alumina,biomass,biomass CCS,2055
alumina,biomass,biomass CCS,2060
alumina,biomass,biomass CCS,2065
alumina,biomass,biomass CCS,2070
alumina,biomass,biomass CCS,2075
alumina,biomass,biomass CCS,2080
alumina,biomass,biomass CCS,2085
alumina,biomass,biomass CCS,2090
alumina,biomass,biomass CCS,2095
alumina,biomass,biomass CCS,2100
alumina,heat,heat,1975
alumina,heat,heat,1990
alumina,heat,heat,2005
alumina,heat,heat,2010
alumina,heat,heat,2015
alumina,heat,heat,2020
alumina,heat,heat,2025
alumina,heat,heat,2030
alumina,heat,heat,2035
alumina,heat,heat,2040
alumina,heat,heat,2045
alumina,heat,heat,2050
alumina,heat,heat,2055
alumina,heat,heat,2060
alumina,heat,heat,2065
alumina,heat,heat,2070
alumina,heat,heat,2075
alumina,heat,heat,2080
alumina,heat,heat,2085
alumina,heat,heat,2090
alumina,heat,heat,2095
alumina,heat,heat,2100
aluminum,electricity,electricity,1975
aluminum,electricity,electricity,1990
aluminum,electricity,electricity,2005
aluminum,electricity,electricity,2010
aluminum,electricity,electricity,2015
aluminum,electricity,electricity,2020
aluminum,electricity,electricity,2025
aluminum,electricity,electricity,2030
aluminum,electricity,electricity,2035
aluminum,electricity,electricity,2040
aluminum,electricity,electricity,2045
aluminum,electricity,electricity,2050
aluminum,electricity,electricity,2055
aluminum,electricity,electricity,2060
aluminum,electricity,electricity,2065
aluminum,electricity,electricity,2070
aluminum,electricity,electricity,2075
aluminum,electricity,electricity,2080
aluminum,electricity,electricity,2085
aluminum,electricity,electricity,2090
aluminum,electricity,electricity,2095
aluminum,electricity,electricity,2100
